Feature ID	Taxon	Confidence
7cd976e2eb6a3808a10bee735dd48736	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.9991332940195808
a9b2510e5630cfb58b23eaf40cc36628	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.9980622882817667
25264d18c9cd4150993c8269d7149f71	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__	0.999998368466431
f78e83bc7026a93fe28e49c22d78b22c	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__; s__	0.9992113494024883
0523179e0ebbc3e83a597e6d1f0e6c76	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae	0.9999973988145887
ab19d41d9386b5c42e7a73a29c2d77bd	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__; s__	0.9984681997514595
e36128ad2195784358911a858fb9026b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	0.8209366654168457
e9cfcac68646d8d7f27b2864f07144bf	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.9967186835259382
a3c3211a86684f1d1bff5c4d7d8ae638	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.998754481711571
b41bbcc6e4bd9ac260bf4bcad7cb2e9e	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Blastococcus; s__saxobsidens	0.8594117168858548
f687a2c91bd232e27725abc2d6a914ac	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Chelatococcus	0.7279210265968746
232af8cb3bdb216a07ce2e57e5165412	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae	0.9999980442746221
3e438bb09b206620adc0cac63c3381ec	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Blastococcus; s__saxobsidens	0.760465520056116
